RE,chp,state,city,fuel,technology,id,capacity_n,capacity_g,chp_capaci,efficiency,Efficien_2
DE12,no,Baden-W?rttemberg,Tannheim,Hydro,Run-of-river,BNA1265,12.3,0.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,Wehr,Hydro,Pumped storage,BNA1019,910.0,992.0,0.0,0.0,0.75
DE12,no,Baden-W?rttemberg,Witznau,Hydro,Pumped storage,BNA1071,220.0,240.0,0.0,0.0,0.75
DE12,no,Bayern,Kirchdorf,Hydro,Run-of-river,BNA0529,50.0,101.3,0.0,0.0,0.8
DE12,yes,Baden-W?rttemberg,Albbruck,Hard coal,Steam turbine,BNA0011,28.0,0.0,0.0,0.0,0.45
DE12,yes,Baden-W?rttemberg,Altbach,Hard coal,Steam turbine,BNA0019,336.0,476.0,280.0,0.44,0.44
DE12,yes,Baden-W?rttemberg,Altbach,Hard coal,Steam turbine,BNA0020,433.0,379.0,280.0,0.44,0.46
DE12,yes,Baden-W?rttemberg,Altbach,Natural gas,Gas turbine,BNA0015,65.0,78.36,0.0,0.44,0.37
DE12,yes,Baden-W?rttemberg,B?blingen,Waste,Steam turbine,BNA1110,9.5,0.0,0.0,0.0,0.33
DE12,yes,Baden-W?rttemberg,Ehingen,Biomass and biogas,Steam turbine,BNA0232a,13.2,0.0,0.0,0.0,0.38
DE12,yes,Baden-W?rttemberg,Ehingen,Biomass and biogas,Steam turbine,BNA0232b,8.0,0.0,0.0,0.0,0.38
DE12,yes,Baden-W?rttemberg,Ehingen,Natural gas,Steam turbine,BNA0232c,4.0,0.0,0.0,0.0,0.36
DE12,yes,Baden-W?rttemberg,Eschbach,Waste,Steam turbine,BNA1139,13.6,0.0,0.0,0.0,0.33
DE12,yes,Baden-W?rttemberg,Freiburg,Natural gas,Combined cycle,BNA0293,60.1,0.0,0.0,0.0,0.53
DE12,yes,Baden-W?rttemberg,Freiburg,Natural gas,Steam turbine,BNA1315,27.0,0.0,0.0,0.0,0.39
DE12,yes,Baden-W?rttemberg,G?ppingen,Waste,Steam turbine,BNA1144,11.0,0.0,0.0,0.0,0.33
DE12,yes,Baden-W?rttemberg,Heidenheim,Natural gas,Steam turbine,BNA1292a,11.1,0.0,0.0,0.0,0.37
DE12,yes,Baden-W?rttemberg,Heidenheim,Natural gas,Steam turbine,BNA1292b,15.4,0.0,0.0,0.0,0.39
DE12,yes,Baden-W?rttemberg,Herbrechtingen,Biomass and biogas,Steam turbine,BNA1501,14.0,0.0,0.0,0.0,0.38
DE12,yes,Baden-W?rttemberg,Oberkirch,Hard coal,Steam turbine,BNA1467,18.5,0.0,0.0,0.0,0.39
DE12,yes,Baden-W?rttemberg,Reutlingen,Natural gas,Combustion Engine,BNA0832,9.8,0.0,0.0,0.0,0.46
DE12,yes,Baden-W?rttemberg,Sindelfingen,Natural gas,Steam turbine,BNA1260,95.0,102.0,102.0,0.0,0.4
DE12,yes,Baden-W?rttemberg,Stuttgart,Hard coal,Steam turbine,BNA0934,22.6,0.0,0.0,0.0,0.45
DE12,yes,Baden-W?rttemberg,Stuttgart,Hard coal,Steam turbine,BNA0935,45.0,47.76,0.0,0.0,0.38
DE12,yes,Baden-W?rttemberg,Stuttgart,Hard coal,Steam turbine,BNA0936,45.0,47.76,0.0,0.0,0.39
DE12,yes,Baden-W?rttemberg,Stuttgart,Natural gas,Steam turbine,BNA1333a,12.2,0.0,0.0,0.0,0.37
