RE,chp,state,city,fuel,technology,capacity_n,capacity_g,chp_capaci
DE06,no,Nordrhein-Westfalen,Herne,Hard coal,Steam turbine,133.0,0.0,0.0
DE06,no,Nordrhein-Westfalen,Herten,Waste,Steam turbine,17.1,0.0,0.0
DE06,no,Nordrhein-Westfalen,Kamp-Lintfort,Oil,Steam turbine,4.8,0.0,0.0
DE06,no,Nordrhein-Westfalen,Krefeld,Waste,Steam turbine,13.8,0.0,0.0
DE06,no,Nordrhein-Westfalen,Voerde,Hard coal,Steam turbine,2030.0,2234.0,0.0
DE06,no,Nordrhein-Westfalen,Wuppertal,Oil,Combined cycle,60.0,61.27,0.0
DE06,yes,Nordrhein-Westfalen,Bochum,Natural gas,Steam turbine,64.7,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Castrop-Rauxel,Natural gas,Gas turbine,10.2,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Castrop-Rauxel,Natural gas,Steam turbine,0.9,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Datteln,Hard coal,Steam turbine,190.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Dormagen,Natural gas,Combined cycle,586.3,597.1,480.0
DE06,yes,Nordrhein-Westfalen,Duisburg,Hard coal,Steam turbine,1323.0,1306.0,434.0
DE06,yes,Nordrhein-Westfalen,Duisburg,Lignite,Steam turbine,27.5,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Duisburg,Natural gas,Combined cycle,234.0,245.0,167.0
DE06,yes,Nordrhein-Westfalen,Duisburg,Natural gas,Steam turbine,40.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Duisburg,Other fossil fuels,Steam turbine,21.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Duisburg - Ruhrort,Other fossil fuels,Steam turbine,315.0,280.0,0.0
DE06,yes,Nordrhein-Westfalen,Duisburg-Huckingen,Other fossil fuels,Combined cycle,606.0,640.0,68.0
DE06,yes,Nordrhein-Westfalen,D?sseldorf,Natural gas,Combined cycle,100.0,114.0,75.0
DE06,yes,Nordrhein-Westfalen,D?sseldorf,Natural gas,Steam turbine,393.9,324.0,140.0
DE06,yes,Nordrhein-Westfalen,D?sseldorf,Waste,Steam turbine,53.7,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Erkrath,Natural gas,Steam turbine,10.2,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Essen,Waste,Steam turbine,38.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Gelsenkirchen,Hard coal,Steam turbine,1450.0,740.0,0.0
DE06,yes,Nordrhein-Westfalen,Grevenbroich-Frimmersdorf,Lignite,Steam turbine,284.0,325.0,30.0
DE06,yes,Nordrhein-Westfalen,Grevenbroich-Neurath,Lignite,Steam turbine,1211.0,1288.0,9.0
DE06,yes,Nordrhein-Westfalen,Hamborn,Other fossil fuels,Combined cycle,225.0,240.7,150.0
DE06,yes,Nordrhein-Westfalen,Hamborn,Other fossil fuels,Steam turbine,160.0,108.0,0.0
DE06,yes,Nordrhein-Westfalen,Herne,Hard coal,Steam turbine,861.0,810.0,550.0
DE06,yes,Nordrhein-Westfalen,Herten,Waste,Steam turbine,12.5,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Kalkar,Natural gas,Steam turbine,11.4,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Kamp-Lintfort,Waste,Steam turbine,16.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Kempen,Natural gas,Steam turbine,13.2,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Krefeld,Natural gas,Combustion Engine,14.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Krefeld,Natural gas,Steam turbine,38.4,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Krefeld,Waste,Steam turbine,19.3,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Krefeld-Uerdingen,Hard coal,Steam turbine,136.0,116.0,460.0
DE06,yes,Nordrhein-Westfalen,Leverkusen,Hard coal,Steam turbine,103.0,108.55,0.0
DE06,yes,Nordrhein-Westfalen,Leverkusen,Natural gas,Steam turbine,27.0,28.45,0.0
DE06,yes,Nordrhein-Westfalen,Leverkusen,Waste,Steam turbine,11.6,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Marl,Hard coal,Steam turbine,295.9,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Marl,Natural gas,Combined cycle,138.7,186.0,0.0
DE06,yes,Nordrhein-Westfalen,Marl,Natural gas,Steam turbine,60.6,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Moers,Natural gas,Steam turbine,24.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Neuss,Natural gas,Steam turbine,18.9,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Oberhausen,Natural gas,Steam turbine,47.6,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Oberhausen,Other fossil fuels,Steam turbine,38.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Oberhausen,Waste,Steam turbine,61.5,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Recklinghausen,Biomass and biogas,Steam turbine,14.0,0.0,0.0
DE06,yes,Nordrhein-Westfalen,Rheinberg,Natural gas,Gas turbine,79.0,147.1,0.0
DE06,yes,Nordrhein-Westfalen,Wuppertal,Hard coal,Steam turbine,85.0,100.0,201.0
DE06,yes,Nordrhein-Westfalen,Wuppertal,Natural gas,Combined cycle,82.0,83.73,0.0
DE06,yes,Nordrhein-Westfalen,Wuppertal,Waste,Steam turbine,30.0,0.0,0.0
DE07,no,Nordrhein-Westfalen,Attendorn,Hydro,Run-of-river,15.0,0.0,0.0
DE07,no,Nordrhein-Westfalen,Bergkamen,Biomass and biogas,Steam turbine,17.7,0.0,0.0
DE07,no,Nordrhein-Westfalen,Hamm,Natural gas,Combined cycle,838.0,850.0,0.0
DE07,no,Nordrhein-Westfalen,Hamm-Uentrop,Hard coal,Steam turbine,2118.0,820.0,0.0
DE07,no,Nordrhein-Westfalen,L?nen,Biomass and biogas,Steam turbine,20.0,0.0,0.0
DE07,no,Nordrhein-Westfalen,L?nen,Hard coal,Steam turbine,149.0,170.0,0.0
DE07,no,Nordrhein-Westfalen,Werne,Hard coal,Steam turbine,607.5,665.5,0.0
DE07,no,Nordrhein-Westfalen,Werne,Natural gas,Combined cycle,820.0,854.0,0.0
DE07,no,Nordrhein-Westfalen,Werne,Natural gas,Gas turbine,222.0,222.0,0.0
DE07,no,Nordrhein-Westfalen,Werne,Natural gas,Steam turbine,355.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Arnsberg,Hard coal,Steam turbine,19.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Bergkamen,Hard coal,Steam turbine,717.0,780.0,20.0
DE07,yes,Nordrhein-Westfalen,Brilon,Biomass and biogas,Steam turbine,18.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Brilon,Natural gas,Gas turbine,13.5,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Dortmund,Hard coal,Steam turbine,345.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Dortmund,Natural gas,Steam turbine,26.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Dortmund,Other fossil fuels,Steam turbine,16.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,G?tersloh,Biomass and biogas,Steam turbine,12.1,0.0,0.0
DE07,yes,Nordrhein-Westfalen,G?tersloh,Natural gas,Steam turbine,22.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Hagen,Biomass and biogas,Steam turbine,20.0,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Hagen,Natural gas,Combined cycle,230.0,251.0,108.0
DE07,yes,Nordrhein-Westfalen,Hamm,Waste,Steam turbine,14.6,0.0,0.0
DE07,yes,Nordrhein-Westfalen,Iserlohn,Waste,Steam turbine,12.6,0.0,0.0
DE07,yes,Nordrhein-Westfalen,L?nen,Hard coal,Steam turbine,1070.0,1170.0,35.0
DE07,yes,Nordrhein-Westfalen,M?nster,Natural gas,Combined cycle,100.2,104.0,120.0
DE07,yes,Rheinland-Pfalz,Liebenscheid,Biomass and biogas,Steam turbine,14.0,0.0,0.0
DE08,no,Nordrhein-Westfalen,Bergheim,Lignite,Steam turbine,3027.0,2989.0,0.0
DE08,no,Nordrhein-Westfalen,Bergheim,Oil,Steam turbine,0.8,0.0,0.0
DE08,no,Nordrhein-Westfalen,D?ren,Natural gas,Steam turbine,14.0,0.0,0.0
DE08,no,Nordrhein-Westfalen,Eschweiler-Weisweiler,Lignite,Steam turbine,751.0,703.0,0.0
DE08,no,Nordrhein-Westfalen,Eschweiler-Weisweiler,Natural gas,Gas turbine,544.0,0.0,0.0
DE08,no,Nordrhein-Westfalen,Heimbach,Hydro,Run-of-river,30.0,0.0,0.0
DE08,no,Nordrhein-Westfalen,H?rth-Knapsack,Natural gas,Combined cycle,1230.0,1262.0,0.0
