,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,DE,NRW,restNRW,,VER_,B_,_ind,_ind,LinearTransformer,VER_DENRW_ind,VER_DENRW_ind,B_DErestNRW_ind,0.93,15245.838,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,NRW,,,VER_,B_,_el,_el,LinearTransformer,VER_DENRW_el,B_DENRW_el,VER_DENRW_el,,,,,,,,,,,,,,,,,
,DE,NRW,15,,VER_,B_,_el,_el,LinearTransformer,VER_DENRW_el,VER_DENRW_el,B_DE15_el,0.01,109.984,,,,,,,,,,,,,,,
,DE,NRW,restNRW,,VER_,B_,_el,_el,LinearTransformer,VER_DENRW_el,VER_DENRW_el,B_DErestNRW_el,0.99,18026.891,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,###Kontroll,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,NRW,,,EX_,B_,_el,_el,Sink,EX_DENRW_el,B_DENRW_el,EX_DENRW_el,,,,,,,,0.00,TRUE,,,,,,,,
,DE,NRW,,,EX_,B_,_hhg,_hhg,Sink,EX_DENRW_hhg,B_DENRW_hhg,EX_DENRW_hhg,,,,,,,,0.00,TRUE,,,,,,,,
,DE,NRW,,,EX_,B_,_ind,_ind,Sink,EX_DENRW_ind,B_DENRW_ind,EX_DENRW_ind,,,,,,,,0.00,TRUE,,,,,,,,
,DE,NRW,,,R_,B_,_hhg,_hhg,Source,R_DENRW_hhg,R_DENRW_hhg,B_DENRW_hhg,,,,,,,,10000.00,,,,,,,,,
,DE,NRW,,,R_,B_,_ind,_ind,Source,R_DENRW_ind,R_DENRW_ind,B_DENRW_ind,,,,,,,,10000.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BL-Angeben,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,### Werte aus der CSV:C:/Users/olga/Desktop/Head_DE/Headmodell/data_basic/BL_Dates_HPP.csv'#$BL_Dates_HPP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,###NI_01_HHP_w_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_w_hhg,DE,NI,,_01,HPP_,B_,_w,_w,LinearTransformer,HPP_DENI_01_w,B_DEGL_w,HPP_DENI_01_w,,,,,,,,,,,,,,,,,
,DE,NI,,_01,HPP_,B_,_w,_el,LinearTransformer,HPP_DENI_01_w,HPP_DENI_01_w,B_DENI_el,0.33,14.700,,,,,,,,,,,,,,,
,DE,NI,,_01,HPP_,B_,_w,_hhg,LinearTransformer,HPP_DENI_01_w,HPP_DENI_01_w,B_DENI_hhg,0.47,20.936,,,,,,,,,,,,,,,
,,,,###NI_03_HHP_gas_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_gas_hhg,DE,NI,,_03,HPP_,B_,_gas,_gas,LinearTransformer,HPP_DENI_03_gas,B_DEGL_gas,HPP_DENI_03_gas,,,,,,,,,,,,,,,,,
,DE,NI,,_03,HPP_,B_,_gas,_el,LinearTransformer,HPP_DENI_03_gas,HPP_DENI_03_gas,B_DENI_el,0.52,1864.000,,,,,,,,,,,,,,,
,DE,NI,,_03,HPP_,B_,_gas,_hhg,LinearTransformer,HPP_DENI_03_gas,HPP_DENI_03_gas,B_DENI_hhg,0.32,295.478,,,,,,,,,,,,,,,
,,,,###NI_04_HHP_gas_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_gas_ind,DE,NI,,_04,HPP_,B_,_gas,_gas,LinearTransformer,HPP_DENI_04_gas,B_DEGL_gas,HPP_DENI_04_gas,,,,,,,,,,,,,,,,,
,DE,NI,,_04,HPP_,B_,_gas,_el,LinearTransformer,HPP_DENI_04_gas,HPP_DENI_04_gas,B_DENI_el,0.42,712.300,,,,,,,,,,,,,,,
,DE,NI,,_04,HPP_,B_,_gas,_ind,LinearTransformer,HPP_DENI_04_gas,HPP_DENI_04_gas,B_DENI_ind,0.42,703.955,,,,,,,,,,,,,,,
,,,,###NI_06_HHP_hc_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_hc_ind,DE,NI,,_06,HPP_,B_,_hc,_hc,LinearTransformer,HPP_DENI_06_hc,B_DEGL_hc,HPP_DENI_06_hc,,,,,,,,,,,,,,,,,
,DE,NI,,_06,HPP_,B_,_hc,_el,LinearTransformer,HPP_DENI_06_hc,HPP_DENI_06_hc,B_DENI_el,0.40,40.000,,,,,,,,,,,,,,,
,DE,NI,,_06,HPP_,B_,_hc,_ind,LinearTransformer,HPP_DENI_06_hc,HPP_DENI_06_hc,B_DENI_ind,0.40,40.000,,,,,,,,,,,,,,,
,,,,###NI_07_HHP_bm_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_bm_hhg,DE,NI,,_07,HPP_,B_,_bm,_bm,LinearTransformer,HPP_DENI_07_bm,B_DEGL_bm,HPP_DENI_07_bm,,,,,,,,,,,,,,,,,
,DE,NI,,_07,HPP_,B_,_bm,_el,LinearTransformer,HPP_DENI_07_bm,HPP_DENI_07_bm,B_DENI_el,0.38,67.400,,,,,,,,,,,,,,,
,DE,NI,,_07,HPP_,B_,_bm,_hhg,LinearTransformer,HPP_DENI_07_bm,HPP_DENI_07_bm,B_DENI_hhg,0.42,74.495,,,,,,,,,,,,,,,
,,,,###NI_08_HHP_bm_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_bm_ind,DE,NI,,_08,HPP_,B_,_bm,_bm,LinearTransformer,HPP_DENI_08_bm,B_DEGL_bm,HPP_DENI_08_bm,,,,,,,,,,,,,,,,,
,DE,NI,,_08,HPP_,B_,_bm,_el,LinearTransformer,HPP_DENI_08_bm,HPP_DENI_08_bm,B_DENI_el,0.45,1.900,,,,,,,,,,,,,,,
,DE,NI,,_08,HPP_,B_,_bm,_ind,LinearTransformer,HPP_DENI_08_bm,HPP_DENI_08_bm,B_DENI_ind,0.35,1.475,,,,,,,,,,,,,,,
,,,,### Werte aus der CSV:C:/Users/olga/Desktop/Head_DE/Headmodell/data_basic/BL_Dates_HPP.csv'#$BL_Dates_non_HPP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,###NI_01_HW_hc_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_hc_ind,DE,NI,,_01,HW_,B_,_hc,_hc,LinearTransformer,HW_DENI_01_hc,B_DEGL_hc,HW_DENI_01_hc,,,,,,,,,,,,,,,,,
,DE,NI,,_01,HW_,B_,_hc,_ind,LinearTransformer,HW_DENI_01_hc,HW_DENI_01_hc,B_DENI_ind,0.80,525.81,,,,,,,,,,,,,,,
,,,,###NI_02_HW_hc_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_hc_hhg,DE,NI,,_02,HW_,B_,_hc,_hc,LinearTransformer,HW_DENI_02_hc,B_DEGL_hc,HW_DENI_02_hc,,,,,,,,,,,,,,,,,
,DE,NI,,_02,HW_,B_,_hc,_hhg,LinearTransformer,HW_DENI_02_hc,HW_DENI_02_hc,B_DENI_hhg,0.80,32.11,,,,,,,,,,,,,,,
,,,,###NI_03_HW_li_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_li_ind,DE,NI,,_03,HW_,B_,_li,_li,LinearTransformer,HW_DENI_03_li,B_DEGL_li,HW_DENI_03_li,,,,,,,,,,,,,,,,,
,DE,NI,,_03,HW_,B_,_li,_ind,LinearTransformer,HW_DENI_03_li,HW_DENI_03_li,B_DENI_ind,0.80,52.31,,,,,,,,,,,,,,,
,,,,###NI_04_HW_li_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_li_hhg,DE,NI,,_04,HW_,B_,_li,_li,LinearTransformer,HW_DENI_04_li,B_DEGL_li,HW_DENI_04_li,,,,,,,,,,,,,,,,,
,DE,NI,,_04,HW_,B_,_li,_hhg,LinearTransformer,HW_DENI_04_li,HW_DENI_04_li,B_DENI_hhg,0.80,80.35,,,,,,,,,,,,,,,
,,,,###NI_05_HW_oil_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_oil_ind,DE,NI,,_05,HW_,B_,_oil,_oil,LinearTransformer,HW_DENI_05_oil,B_DEGL_oil,HW_DENI_05_oil,,,,,,,,,,,,,,,,,
,DE,NI,,_05,HW_,B_,_oil,_ind,LinearTransformer,HW_DENI_05_oil,HW_DENI_05_oil,B_DENI_ind,0.83,261.86,,,,,,,,,,,,,,,
,,,,###NI_06_HW_oil_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_oil_hhg,DE,NI,,_06,HW_,B_,_oil,_oil,LinearTransformer,HW_DENI_06_oil,B_DEGL_oil,HW_DENI_06_oil,,,,,,,,,,,,,,,,,
,DE,NI,,_06,HW_,B_,_oil,_hhg,LinearTransformer,HW_DENI_06_oil,HW_DENI_06_oil,B_DENI_hhg,0.83,4844.53,,,,,,,,,,,,,,,
,,,,###NI_07_HW_lgas_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_lgas_ind,DE,NI,,_07,HW_,B_,_lgas,_lgas,LinearTransformer,HW_DENI_07_lgas,B_DEGL_lgas,HW_DENI_07_lgas,,,,,,,,,,,,,,,,,
,DE,NI,,_07,HW_,B_,_lgas,_ind,LinearTransformer,HW_DENI_07_lgas,HW_DENI_07_lgas,B_DENI_ind,0.83,1.56,,,,,,,,,,,,,,,
,,,,###NI_08_HW_lgas_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
