,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
HPP_hc,DE,NI,,_9,HW_,B_,_oil,_hhg,LinearTransformer,HW_DENI_9_oil,HW_DENI_9_oil,B_DENI_hhg,0.83,4640.271,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NI,,,,,,,##DE15_0_10_HW_li,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_10,HW_,B_,_li,_li,LinearTransformer,HW_DENI_10_li,B_DEGL_li,HW_DENI_10_li,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_10,HW_,B_,_li,_hhg,LinearTransformer,HW_DENI_10_li,HW_DENI_10_li,B_DENI_hhg,0.83,285.440,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DENI_11HW_,,,,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_11,HW_,B_,_gas,_gas,LinearTransformer,HW_DENI_11_gas,B_DEGL_gas,HW_DENI_11_gas,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_11,HW_,B_,_gas,_ind,LinearTransformer,HW_DENI_11_gas,HW_DENI_11_gas,B_DENI_ind,0.84,3211.033,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DENI_12HW_,,,,,,,,,,,,,,,,,,,,
HPP_bm,DE,NI,,_12,HW_,B_,_bm,_bm,LinearTransformer,HW_DENI_12_bm,B_DEGL_bm,HW_DENI_12_bm,,,,,,,,,,,,,,,,,
HPP_bm,DE,NI,,_12,HW_,B_,_bm,_ind,LinearTransformer,HW_DENI_12_bm,HW_DENI_12_bm,B_DENI_ind,0.80,126.897,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DENI_13HW_,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_13,HW_,B_,_hc,_hc,LinearTransformer,HW_DENI_13_hc,B_DEGL_hc,HW_DENI_13_hc,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_13,HW_,B_,_hc,_ind,LinearTransformer,HW_DENI_13_hc,HW_DENI_13_hc,B_DENI_ind,0.80,755.172,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NI,,,,,,,###DENI_14HW_,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_14,HW_,B_,_oil,_oil,LinearTransformer,HW_DENI_14_oil,B_DEGL_oil,HW_DENI_14_oil,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_14,HW_,B_,_oil,_ind,LinearTransformer,HW_DENI_14_oil,HW_DENI_14_oil,B_DENI_ind,0.83,342.090,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NI,,,,,,,###DENI_15HW_,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_15,HW_,B_,_li,_li,LinearTransformer,HW_DENI_15_li,B_DEGL_li,HW_DENI_15_li,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_15,HW_,B_,_li,_ind,LinearTransformer,HW_DENI_15_li,HW_DENI_15_li,B_DENI_ind,0.83,2.218,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,NI,,,LD_,B_,_hhg,_hhg,Sink,LD_DENI_hhg,B_DENI_hhg,LD_DENI_hhg,,7273.793,,,,seq,,,TRUE,,,,,,,,
"Hier keine seq,nur zum test",DE,NI,,,LD_,B_,_ind,_ind,Sink,LD_DENI_ind,B_DENI_ind,LD_DENI_ind,,461.035,,,,seq,,,TRUE,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,NI,,,R_,B_,_hhg,_hhg,Source,R_DENI_hhg,R_DENI_hhg,B_DENI_hhg,,,,,,,,10000.00,,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,NI,,,R_,B_,_ind,_ind,Source,R_DENI_ind,R_DENI_ind,B_DENI_ind,,,,,,,,10000.00,,,,,,,,,
